 # Radius [km]   Gravitational mass [M_sol]
   13.071999999999999        2.1384285975626174     
   13.068000000000000        2.1415797809901873     
   13.064000000000000        2.1446926322318016     
   13.060000000000000        2.1477691151034235     
   13.055999999999999        2.1508100987706342     
   13.052000000000000        2.1538161646653897     
   13.048999999999999        2.1567878120196879     
   13.045000000000000        2.1597254995178359     
   13.041000000000000        2.1626297148534612     
   13.037000000000001        2.1655008778645164     
   13.032999999999999        2.1683394545764147     
   13.029000000000000        2.1711458646635795     
   13.026999999999999        2.1739205295671327     
   13.022000000000000        2.1766638435754846     
   13.018000000000001        2.1793762124322540     
   13.013999999999999        2.1820580400049661     
   13.010000000000000        2.1847097063140293     
   13.006000000000000        2.1873315877043202     
   13.002000000000001        2.1899240451678139     
   12.999000000000001        2.1924874679298942     
   12.994999999999999        2.1950222153955563     
