simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:1293,6.435719,1.371182,-0.09808133,-0.09387319,-0.2494117,-0.0317848,0.02988411,-0.01895869,140.7135,1.227089,1.333079,3.916525,1.168274,0.424807,1343908234,78407560
sim_inspiral:simulation_id:1299,6.849271,1.347554,0.2348743,0.07617101,-0.01546187,-0.02280418,0.01233985,-0.0327206,395.5693,2.277774,3.25512,0.6480742,1.141188,-0.7030141,1343967777,221807422
sim_inspiral:simulation_id:1317,7.371897,1.288784,0.03916372,-0.01391304,-0.03025668,0.006207816,0.02570635,-0.0123636,347.1626,0.6292487,0.5968839,1.41217,5.851362,0.9541329,1344158783,694768120
sim_inspiral:simulation_id:1325,7.576803,1.252686,-0.009421737,0.004734658,0.001736048,-0.001736383,0.0003716555,-0.0001513259,221.5643,1.279076,1.906534,5.757008,5.751564,0.5521266,1344321334,585994923
sim_inspiral:simulation_id:1351,7.393244,1.090702,0.1837162,-0.005865209,-0.3219295,0.001618216,0.002043581,-0.001537098,315.7959,0.2010356,2.18813,5.971347,1.324804,0.671599,1344678437,863515015
sim_inspiral:simulation_id:1354,9.512821,1.103259,0.1305,-0.0898092,-0.1347112,0.01714473,0.02598392,-0.002639993,244.0124,0.07326997,0.1297518,5.151958,1.321095,-0.2075764,1344703484,905253249
sim_inspiral:simulation_id:1388,7.293362,1.294235,0.03568559,0.04300997,-0.07344422,-0.02819392,0.01697898,-0.01334219,280.7462,2.499111,2.892232,5.067479,3.778399,-0.09215004,1345022513,800838721
sim_inspiral:simulation_id:1410,8.73461,1.610918,-0.03297777,0.001565402,0.07487761,-3.830483e-05,-0.01537441,-0.01156141,208.8619,2.743556,3.798349,3.062599,2.45419,-1.105127,1345317725,651540611
sim_inspiral:simulation_id:1417,7.684586,1.242871,0.03122348,-0.01156977,-0.04181574,-0.01111704,0.005313236,-0.03505594,273.659,0.6061561,1.329757,1.878459,4.544181,0.3292139,1345380614,633680349
sim_inspiral:simulation_id:1424,8.868135,1.227645,0.009475042,0.05981673,0.001343908,-0.02992929,-0.01554649,-0.01821768,436.8358,0.572392,1.134894,1.243218,2.302669,-0.3891226,1345445054,819324039
sim_inspiral:simulation_id:1455,8.108191,1.499928,0.1702498,-0.3660479,0.07867759,0.0255872,-0.04046295,-0.01392833,146.6248,2.911841,5.79569,1.033386,3.363155,0.6653339,1345811319,936041573
